hg19	rn6
SYT9	Syt9
CRIM1	Crim1
CRYGN	Crygn
JARID2	Jarid2
MAP3K15	Map3k15
KIF7	Kif7
STAT3	Stat3
CA5A	Car5a
TNMD	Tnmd
KRT8	Krt8
CSNK1E	Csnk1e
HSPA14	Hspa14
NRSN2	Nrsn2
KCNQ3	Kcnq3
VIL1	Vil1
PCK2	Pck2
STK38L	Stk38l
ZNF580	Zfp580
KIF3A	Kif3a
RASGRP3	Rasgrp3
BCOR	Bcor
LRRC52	Lrrc52
ZNF362	Zfp362
MAG	Mag
FAM83E	Fam83e
KLHL26	Klhl26
OR51F2	Olr51
IGSF10	Igsf10
ZIC5	Zic5
AHNAK2	Ahnak2
FLT4	Flt4
CA5B	Car5b
CPB1	Cpb1
ARHGAP36	Arhgap36
THOC7	Thoc7
SERPINA12	Serpina12
THSD4	Thsd4
OR52B2	Olr202
DENND2D	Dennd2d
C8A	C8a
ZNF583	Zfp583
SLC25A43	RGD1559928
PLA2G5	Pla2g5
OR8K3	Olr514
KCNQ5	Kcnq5
RASGRP2	Rasgrp2
C4BPA	C4bpa
ECHDC3	Echdc3
CTBP1	Ctbp1
NOLC1	Nolc1
ARRDC3	Arrdc3
ITGAE	Itgae
STK38	Stk38
VGLL4	Vgll4
GDF2	Gdf2
CRYBA4	Cryba4
KCNC2	Kcnc2
PIP4K2C	Pip4k2c
MKX	Mkx
PDGFRL	Pdgfrl
ZNF384	Zfp384
RAP1GAP2	Rap1gap2
NRSN1	Nrsn1
KIF3B	Kif3b
HNRNPA1	HNRNPA1
CRYBA1	Cryba1
ZFHX2	Zfhx2
KLHL14	Klhl14
WBP2NL	Wbp2nl
ATG16L1	Atg16l1
USP48	Usp48
C20orf112	RGD1563510
ARHGAP6	Arhgap6
CTD-2116N17.1	Csnk1g1
TUBB2A	Tubb2a
RPL36A-HNRNPH2	Rpl36al
MAP3K12	Map3k12
OR4C5	Olr725
DHX32	Dhx32
ANGPT1	Angpt1
PBX2	Pbx2
PDYN	Pdyn
OPN4	Opn4
TRPM8	Trpm8
SLC16A6	Slc16a6
TNS1	Tns1
ELK1	Elk1
SERPING1	Serping1
PRDM4	Prdm4
PLA2G2A	Pla2g2a
LRCH4	Lrch4
SYT3	Syt3
KIF17	RGD1562511
CDYL2	Cdyl2
TRIM14	Trim14
FFAR1	Ffar1
KATNA1	Katna1
AIPL1	Aipl1
MFSD11	Mfsd11
TXNIP	Txnip
KLHL36	Klhl36
RNF144A	Rnf144a
FAM83F	Fam83f
OR51T1	Or51t1
DUOX2	Duox2
CPA3	Cpa3
SYT6	Syt6
PTK2B	Ptk2b
KLF10	Klf10
SLC25A42	Slc25a42
SLC17A4	Slc17a4
GLI2	Gli2
PABPC1L	Pabpc1l
FIGN	Fign
FAM83G	Fam83g
KIF27	Kif27
WNT2	Wnt2
RHOG	Rhog
GLI3	Gli3
SYT10	Syt10
DENND2C	Dennd2c
ATG16L2	Atg16l2
RORA	Rora
ARRDC4	Arrdc4
KLF14	Klf14
CPN1	Cpn1
GNAT2	Gnat2
ARL8A	Arl8a
HSPA9	Hspa9
KDR	Kdr
KCNC3	Kcnc3
MTFR1L	Mtfr1l
KLF9	Klf9
RORB	Rorb
TRPC4	Trpc4
KLHDC10	Klhdc10
LMF1	Lmf1
COL13A1	Col13a1
POU4F3	Pou4f3
TRAF4	Traf4
DERL2	Derl2
ST5	St5
TGM2	Tgm2
SLC17A1	Slc17a1
IDH3A	Idh3a
FHL1	Fhl1
GLIS2	Glis2
CCND1	Ccnd1
TNKS	Tnks
PENK	PENK
AIP	Aip
E2F3	E2f3
TRPC5	Trpc5
E2F1	E2f1
ANGPTL7	ANGPTL7
C8B	C8b
ONECUT2	Onecut2
OR4C6	Olr641
ZSCAN22	Zscan22
NOTUM	Notum
AES	Aes
RABEPK	Rabepk
IRX5	Irx5
RAPGEF2	Rapgef2
LRRC14B	Lrrc14b
RXFP1	Rxfp1
PLA2G2F	Pla2g2f
HCFC1	Hcfc1
CPNE7	Cpne7
ARL9	Arl9
WBP2	Wbp2
DERL3	DERL3
KLF13	Klf13
RAC1	Rac1
FGA	FGA
E2F5	E2f5
NKX2-6	Nkx2-6
RXFP2	Rxfp2
FIGNL1	Fignl1
GRM1	Grm1
RASGEF1B	Rasgef1b
OR4N4	Olr1611
NCS1	Ncs1
CTNND2	Ctnnd2
GPR176	Gpr176
MPP3	Mpp3
SLC17A3	Slc17a3
LMF2	Lmf2
PTPN5	PTPN5
ITGAM	Itgam
KLHL35	Klhl35
TRAF1	Traf1
TLE2	Tle2
OR4N5	Olr1624
LECT1	Lect1
MPP4	Mpp4
KIAA1715	Lnp
PRDM11	Prdm11
FMO6P	Fmo6
BRD4	Brd4
KIF11	Kif11
E2F4	E2f4
ZNF174	Zfp174
PARP9	Parp9
CNTN3	Cntn3
TRAF2	Traf2
C10orf88	RGD1305014
HINT2	Hint2
HSPA5	Hspa5
MPP5	Mpp5
SLC16A5	Slc16a5
KCNC4	Kcnc4
GABARAPL3	Gabarapl1
DNAJC5G	Dnajc5g
GJA10	Gja10
PYY	Pyy
FRMD8	Frmd8
SERPINB2	Serpinb2
WNT16	Wnt16
HCFC2	Hcfc2
RAC2	Rac2
CDH20	Cdh20
TONSL	Tonsl
PKD1	Pkd1
HLA-DOB	RT1-DOb
GNAT3	Gnat3
POU4F1	POU4F1
DERL1	Derl1
LPPR1	Lppr1
SERTAD2	Sertad2
ERLIN2	Erlin2
SLC24A2	SLC24A2
PPP1R13B	Ppp1r13b
TRAF5	Traf5
KLHL17	Klhl17
TLE6	RGD1561530
CA3	Car3
ZFHX3	Zfhx3
TRAF3	Traf3
TMPRSS9	Tmprss9
PDX1	Pdx1
ITGAD	Itgad
VSIG2	Vsig2
GSN	Gsn
OPN3	Opn3
GUCY1A3	Gucy1a3
SPAST	Spast
TLR6	Tlr6
GPR101	Gpr101
GJB4	Gjb4
SEMA3F	Sema3f
GARNL3	Garnl3
ZNF790	Zfp790
GPR161	Gpr161
SBK3	Gm1078
MTFR1	Mtfr1
TRPC1	Trpc1
MET	Met
OR51E2	Olr59
SERPIND1	Serpind1
E2F6	E2f6
CHADL	Chadl
CCND2	CCND2
NME5	Nme5
LRCH1	Lrch1
TMEM8A	Tmem8a
HMBOX1	Hmbox1
PLA2G2D	Pla2g2d
ETF1	Etf1
ITGAX	Itgax
CHST10	Chst10
WWP2	Wwp2
CIB3	Cib3
RNF19A	Rnf19a
KDM5C	Kdm5c
NME8	Nme8
TLR10	Tlr10
ASAP1	Asap1
FAM102A	Fam102a
TUBB2B	Tubb2b
IPP	Ipp
CYP2W1	Cyp2w1
CDCA4	Cdca4
SNAP23	Snap23
OSBPL11	Osbpl11
ANO2	Ano2
ZNF394	Zfp394
CHST8	Chst8
TBC1D2	Tbc1d2
HMGB1	Hmg1l1
SOX18	Sox18
VSIG1	Vsig1
RMI1	Rmi1
SOX12	Sox12
SLCO5A1	Slco5a1
OR51D1	Olfr557
NKX2-1	Nkx2-1
AMBP	Ambp
ANKRD29	Ankrd29
GJA4	Gja4
KDM5B	Kdm5b
OSBPL10	Osbpl10
GJA1	Gja1
FGD5	Fgd5
RGS10	Rgs10
FAM102B	Fam102b
KLHL25	Klhl25
KLHL2	Klhl2
PTPN7	Ptpn7
NME9	1600029I14Rik
FMO4	Fmo4
PBX3	Pbx3
CPXM1	Cpxm1
KLHL3	Klhl3
CHST9	Chst9
MMP11	Mmp11
RASGEF1A	Rasgef1a
WNT2B	Wnt2b
NME6	Nme6
RNF149	Rnf149
ONECUT3	Onecut3
OR51E1	Olr63
NKX2-4	Nkx2-4
KLHL7	Klhl7
CDH6	CDH6
HOXD3	Hoxd3
ZFAND2B	Zfand2b
TNXB	Tnxb
SLC25A16	Slc25a16
COL11A2	Col11a2
FZD6	Fzd6
PTPRR	Ptprr
MMP27	Mmp27
CDH9	Cdh9
BRDT	BRDT
CAPG	Capg
APBB1	Apbb1
PLA2G2C	Pla2g2c
ZFP36	Zfp36
ZNF3	Zfp113
SLC30A10	Slc30a10
CHAD	Chad
ANKRD17	Ankrd17
CDH12	Cdh12
GRM5	Grm5
CEP78	Cep78
HSPA1L	Hspa1l
MMP15	Mmp15
SMARCA1	Smarca1
PARP11	Parp11
RGS14	Rgs14
UBE2J2	Ube2j2
SLCO4A1	Slco4a1
PRDM7	Prdm9
FZD3	Fzd3
MMP16	Mmp16
ISLR	Islr
GNAT1	Gnat1
OSBPL9	Osbpl9
SCIN	Scin
HOXB3	HOXB3
ARHGAP22	Arhgap22
SEMA3C	Sema3c
CTNND1	Ctnnd1
KRT35	Krt35
ZFAND2A	Zfand2a
RFX3	Rfx3
ABTB2	Abtb2
LRRK1	Lrrk1
ANO8	Ano8
RAP1GAP	RAP1GAP
ASAP2	Asap2
APBB3	Apbb3
MMP24	Mmp24
C6	C6
SLC9A4	Slc9a4
MYL4	Myl4
PARP10	Parp10
OR11H7	Olr1622
LRRK2	Lrrk2
WWP1	Wwp1
NKX2-8	Nkx2-8
NXF3	Nxf3
SBK2	Sbk2
ISLR2	Islr2
TRPM6	TRPM6
POU4F2	Pou4f2
DHX16	Dhx16
TBC1D8	Tbc1d8
SOX6	Sox6
FMO1	Fmo1
KLHL6	Klhl6
MMP3	Mmp3
OR52M1	Olr48
CAPN5	Capn5
ARL8B	Arl8b
COL5A3	Col5a3
PIP4K2A	Pip4k2a
DKFZP761J1410	Lppr2
EFCAB4B	Efcab4b
TNS4	Tns4
OR2C1	Olr1356
LRRC15	Lrrc15
CSNK1D	Csnk1d
FBXO10	Fbxo10
PIP4K2B	Pip4k2b
TMEM8B	Tmem8b
TGM1	Tgm1
SLC30A4	Slc30a4
FMO3	Fmo3
RASL11B	Rasl11b
TTLL8	Ttll8
SNRNP70	Snrnp70
DHX15	Dhx15
MMP10	Mmp10
KLHL24	Klhl24
MYL1	Myl1
LPPR5	Lppr5
CYLD	Cyld
PACRG	Pacrg
WDR75	Wdr75
CCNO	Ccno
INVS	Invs
RNF148	Rnf148
ITPRIPL2	Itpripl2
KRIT1	Krit1
ANO1	Ano1
WFIKKN2	Wfikkn2
SLC7A10	Slc7a10
GJB3	Gjb3
RFX1	Rfx1
LRRTM2	Lrrtm2
ERLIN1	Erlin1
NOX3	Nox3
ARL10	ARL10
NKX2-5	Nkx2-5
NKX1-1	Nkx1-1
KCNIP1	Kcnip1
LRRC26	Lrrc26
CPE	Cpe
PACRGL	Pacrgl
RFX8	Rfx8
OXGR1	Oxgr1
EMR1	Emr1
DGKB	Dgkb
SOX13	Sox13
KLHL23	Klhl23
SNRNP40	Snrnp40
NKX1-2	Nkx1-2
COL24A1	Col24a1
PLBD2	Plbd2
DAD1	Dad1
UBE2I	Ube2i
PAX3	Pax3
CCND3	Ccnd3
ENC1	Enc1
GNAO1	Gnao1
ASAP3	Asap3
ITPRIPL1	Itpripl1
GUCY2D	Gucy2d
PANK2	Pank2
NUP93	Nup93
CPN2	Cpn2
SLC7A5	Slc7a5
PITPNB	Pitpnb
ETV2	Etv2
ANPEP	Anpep
SAP30L	Sap30l
NKX3-2	Nkx3-2
MLLT1	Mllt1
NKX2-3	Nkx2-3
CD164	Cd164
KLHL21	Klhl21
DNM1L	Dnm1l
LRCH2	Lrch2
KLC2	Klc2
RAB3A	Rab3a
FPGS	Fpgs
TP53BP2	Tp53bp2
TFPI2	Tfpi2
FAM196B	Fam196b
SERPINF1	Serpinf1
CD164L2	Cd164l2
COL9A2	Col9a2
GJB5	Gjb5
ANO7	Ano7
SLCO4C1	Slco4c1
ABCF3	Abcf3
RFX6	Rfx6
CAPN6	Capn6
UNC119	Unc119
TTC39B	Ttc39b
GCAT	Gcat
C1QL4	C1ql4
CPT1B	Cpt1b
GOLT1B	Golt1b
ITCH	Itch
KCNA3	Kcna3
ITGAL	Itgal
TDRD3	TDRD3
MLLT3	Mllt3
ELK4	Elk4
NINJ2	Ninj2
LOXL2	Loxl2
FBLN5	Fbln5
SP9	Sp9
RFX4	Rfx4
SNX32	Snx32
MMP8	Mmp8
ENPP7	Enpp7
COBLL1	Cobll1
ARVCF	Arvcf
MAP3K13	Map3k13
LPO	Lpo
LRCH3	Lrch3
SOX17	Sox17
ARHGEF28	Arhgef28
GIMAP4	Gimap4
SLC17A2	Slc17a2
SULT4A1	Sult4a1
GOLT1A	Golt1a
COL25A1	Col25a1
KRT7	Krt7
ALAS2	Alas2
NKX3-1	Nkx3-1
OR9A4	Olr799
SLC17A5	Slc17a5
TTLL9	Ttll9
LRG1	Lrg1
ZFP36L1	Zfp36l1
FAM211B	Fam211b
ELK3	Elk3
ALAS1	Alas1
UBE2J1	Ube2j1
RNF144B	Rnf144b
MSX1	Msx1
HS6ST2	Hs6st2
RAB3C	Rab3c
TRPM1	Trpm1
KCND1	Kcnd1
CNTN4	Cntn4
SP8	Sp8
OR11H6	Olr1621
C1QL3	C1ql3
GP5	Gp5
OR9A2	RGD1562066
CD97	Cd97
ACSS2	Acss2
KATNAL2	Katnal2
KLC4	Klc4
COL27A1	Col27a1
ACAD10	Acad10
PTPN21	Ptpn21
RNF19B	Rnf19b
SPIRE1	Spire1
OR52K1	Olr46
DGKG	Dgkg
CNTN6	Cntn6
MOS	Mos
NXF1	Nxf1
PLCD4	Plcd4
USP7	Usp7
P2RY10	P2ry10
VPS4B	Vps4b
ARID3B	Arid3b
TLR2	Tlr2
GRAMD1C	Gramd1c
ERH	Erh
RASEF	Rasef
FGD6	Fgd6
SNRPD2	Snrpd2
ABCB6	Abcb6
PTPN14	Ptpn14
SNRNP35	Snrnp35
SGSM3	Sgsm3
P2RY1	P2ry1
FAM219A	Fam219a
FAM196A	Fam196a
PLAC8	Plac8
TSPO2	Tspo2
NT5E	Nt5e
TBC1D9B	Tbc1d9b
WDR45B	Wdr45b
NKX2-2	Nkx2-2
GUCY2F	Gucy2f
TLE4	Tle4
SPDEF	Spdef
SNAP25	Snap25
TNS3	Tns3
IGSF11	Igsf11
CCR4	Ccr4
CHD1L	Chd1l
RAB3B	Rab3b
HBEGF	Hbegf
PANK1	Pank1
EP400	Ep400
RXFP3	Rxfp3
CDK16	Cdk16
OR2W3	Olr1433
C1QL1	C1ql1
SYNJ2BP	Synj2bp
CCR8	Ccr8
EIF2B5	Eif2b5
RAB3D	Rab3d
APBB2	Apbb2
RGS12	Rgs12
ACAD11	Acad11
GAS7	Gas7
RAP1A	Rap1a
SP7	Sp7
CPNE9	Cpne9
ATP1B2	Atp1b2
CA13	Car13
SLC30A8	Slc30a8
AFG3L2	Afg3l2
RNF167	Rnf167
TGM4	Tgm4
XCR1	Xcr1
ONECUT1	Onecut1
HMX1	Hmx1
KLC3	Klc3
ANO10	Ano10
ETV6	Etv6
HS6ST1	Hs6st1
SERPINB7	Serpinb7
SAP30	Sap30
ENPP5	Enpp5
CAPN12	Capn12
PPARD	Ppard
TTL	Ttl
ABCF1	Abcf1
ESAM	Esam
ACKR2	Ackr2
HDAC10	Hdac10
C1QL2	C1ql2
LOXL4	Loxl4
ARHGEF2	Arhgef2
F13A1	F13a1
CA1	Ca1
MAP3K8	Map3k8
KANSL2	Kansl2
COBL	Cobl
ARID3C	Arid3c
NOX1	Nox1
NMNAT3	Nmnat3
PLEKHH3	Plekhh3
OR2W1	Olr1662
KCNA1	Kcna1
OR8K1	Olr485
ZNF346	Zfp346
FAM211A	Fam211a
TTC39C	MGC125239
GABARAP	Gabarap
TSPO	Tspo
NMNAT2	Nmnat2
ARHGAP12	Arhgap12
CA2	Car2
CUX2	Cux2
CPNE3	Cpne3
HS6ST3	Hs6st3
SLC7A3	Slc7a3
BTBD11	Btbd11
TLE3	Tle3
ZMAT1	Zmat1
SUCNR1	Sucnr1
CAPN11	Capn11
SP5	Sp5
TSSK4	TSSK4
ACVR2B	Acvr2b
CUX1	Cux1
GPR135	Gpr135
PXDN	Pxdn
PKP4	Pkp4
KCND3	Kcnd3
TTLL1	Ttll1
ARHGAP35	Grlf1
ULK3	Ulk3
TSSK3	Tssk3
MSX2	Msx2
ARL14EP	Arl14ep
AF196779.12	Wdr45
ACSS1	Acss1
P2RX2	P2rx2
TRPM7	Trpm7
PTAFR	Ptafr
KLHDC7A	Klhdc7a
SLC7A7	Slc7a7
GPR174	Gpr174
ATXN7L3B	Atxn7l3b
DGKA	Dgka
GRAMD1A	Gramd1a
NMNAT1	Nmnat1
NINJ1	Ninj1
FAM219B	RGD1310727
SLC39A10	Slc39a10
GPR45	Gpr45
COL11A1	Col11a1
RASL11A	Rasl11a
MAP1LC3A	Map1lc3a
TYRO3	Tyro3
PLCD1	Plcd1
TRPM3	Trpm3
OR6F1	Olr13
CAPN9	Capn9
ZNRF4	Znrf4
VASH1	Vash1
HCRTR2	Hcrtr2
WBP1L	Wbp1l
TSSK2	Tssk2
MICAL2	Mical2
PPP1R13L	Ppp1r13l
RERG	Rerg
NAA10	Naa10
SOAT1	Soat1
ABCB7	Abcb7
TBC1D2B	Tbc1d2b
ALDH1L1	Aldh1l1
LRRC24	Lrrc24
ANTXR1	Antxr1
TMEM86B	Tmem86b
TBC1D8B	RGD1563084
KLF15	Klf15
SERPINI1	Serpini1
HOXB2	Hoxb2
TOP1MT	Top1mt
PLBD1	Plbd1
TSSK1B	Tssk1b
KCNA6	Kcna6
PITX3	Pitx3
KCND2	Kcnd2
EFEMP2	EFEMP2
RPP30	Rpp30
KLHDC7B	Klhdc7b
UNC119B	Unc119b
BMS1	Bms1
NEDD4	Nedd4
KIAA1755	RGD1563354
ZNF213	Zfp213
PEX7	Pex7
ALDH1L2	Aldh1l2
ANKRD52	Ankrd52
WFIKKN1	Wfikkn1
SNX6	Snx6
NDST3	Ndst3
GRAMD1B	Gramd1b
PPIB	Ppib
FEV	Fev
SPIRE2	Spire2
NEK10	Nek10
C4orf27	RGD1311747
FAM167B	Fam167b
KCNA2	Kcna2
CAPN10	Capn10
WDTC1	Wdtc1
P2RX3	P2RX3
KBTBD11	Kbtbd11
DYTN	Dytn
PUM2	Pum2
TBC1D9	Tbc1d9
CROT	Crot
CRISP1	Crisp1
TSSK6	Tssk6
ITGA3	Itga3
RAB27A	Rab27a
TBC1D30	Tbc1d30
MERTK	Mertk
MYO3A	Myo3a
FRY	Fry
CPT1C	Cpt1c
PTPN3	Ptpn3
SRRM1	Srrm1
NPHP3	Nphp3
DHDH	Dhdh
RAP1B	Rap1b
ULK1	Ulk1
GP1BB	Gp1bb
CPT1A	Cpt1a
ZNF629	Zfp629
PITX2	Pitx2
ACVR2A	Acvr2a
KCNIP3	Kcnip3
SLC22A4	Slc22a4
MAP3K11	Map3k11
FBXL15	Fbxl15
AGAP2	Agap2
HCRTR1	Hcrtr1
MAMDC4	Mamdc4
HMX3	Hmx3
TRAPPC3L	Trappc3l
RAB27B	Rab27b
CDK5	Cdk5
RNF128	Rnf128
GP9	Gp9
WBP1	Wbp1
SLC39A5	Slc39a5
SLC4A9	Slc4a9
DLX4	Dlx4
KRT40	Krt40
GMNN	Gmnn
CRISP2	Crisp2
SLC9A2	Slc9a2
CD5L	Cd5l
NARF	Narf
DCAF6	DCAF6
CAPN3	Capn3
ATP4B	Atp4b
DUOX1	Duox1
PTPRA	Ptpra
CAPN2	Capn2
TSPAN11	Tspan11
ACKR3	Cxcr7
EPX	Epx
FXR1	Fxr1
C7	C7
OPN1SW	Opn1sw
DUSP26	Dusp26
ERG	Erg
NEDD4L	Nedd4l
VASH2	Vash2
KCNIP4	Kcnip4
ARID1A	Arid1a
RAB44	Rab44
CPNE4	Cpne4
RNF130	Rnf130
QPCT	RGD1562284
NPFFR2	Npffr2
KRT39	Krt39
SLC30A1	Slc30a1
GPR63	Gpr63
C9	C9
RAP2A	Rap2a
FAM167A	Fam167a
SLC9A1	Slc9a1
LOXL3	Loxl3
TRAPPC3	Trappc3
ZNF446	Zfp446
BRS3	Brs3
PITPNA	Pitpna
KCNB1	Kcnb1
ENPP4	Enpp4
CRHR1	Crhr1
FAM101B	Fam101b
HLX	Hlx
SCN2A	SCN2A1
KLF17	Klf17
MPO	Mpo
TPCN1	Tpcn1
SLC39A6	Slc39a6
CNFN	Cnfn
HMX2	Hmx2
TLE1	Tle1
ARHGAP9	Arhgap9
NOX4	Nox4
PAX9	Pax9
RHO	Rho
GUCY1A2	Gucy1a2
SOAT2	Soat2
WDR17	Wdr17
CPNE6	Cpne6
TPO	Tpo
PANK3	Pank3
HDAC4	Hdac4
CYBB	Cybb
PLAC8L1	Plac8l1
FBXL17	Fbxl17
WLS	Wls
COL5A1	Col5a1
MAMDC2	MAMDC2
PITPNC1	Pitpnc1
CATSPER4	Catsper4
TMEM86A	Tmem86a
KRT32	Krt32
GAREML	Gareml
ARHGAP24	Arhgap24
NCOA4	Ncoa4
CPNE2	Cpne2
RGS16	Rgs16
KRT20	Krt20
MAP2K6	Map2k6
KRT36	Krt36
ZNF185	Zfp185
PIK3CD	Pik3cd
DHX36	Dhx36
GBA3	Gba3
DBX2	Dbx2
MLK4	BC021891
HOXD10	Hoxd10
DTNA	Dtna
NPFFR1	Npffr1
RWDD2B	Rwdd2b
SP6	Sp6
ITGA6	Itga6
DCTN1	Dctn1
ARHGAP25	Arhgap25
PPARG	Pparg
CDK15	Cdk15
HOXB1	Hoxb1
AIF1L	Aif1l
ZNF18	Zfp18
EFEMP1	Efemp1
RWDD2A	Rwdd2a
NEK6	NEK6
PANK4	Pank4
MICAL3	Mical3
FAM101A	Fam101a
ULK2	Ulk2
PAK1	Pak1
PAX7	Pax7
MIR3654	Tut1
SCN9A	Scn9a
TGFBR2	Tgfbr2
CALML3	Calml3
INO80D	Ino80d
DBX1	Dbx1
RNF13	Rnf13
ARHGAP5	Arhgap5
AIF1	Aif1
CPNE8	Cpne8
CD163	Cd163
GFPT2	Gfpt2
SLC7A8	Slc7a8
LRRTM1	LRRTM1
PPP6R2	Ppp6r2
MYO16	Myo16
COX6C	Cox6c
GPR182	Gpr182
PTPRE	Ptpre
PLP2	Plp2
PPARA	Ppara
C16orf72	RGD1309748
TNFRSF14	Tnfrsf14
MST1R	Mst1r
UBXN4	Ubxn4
SMURF2	Smurf2
GUCY2C	Gucy2c
PAK3	Pak3
STT3A	Stt3a
RYK	Ryk
SNRPC	Snrpc
CATSPER3	Catsper3
SLC30A3	Slc30a3
RBM11	Rbm11
DLX2	Dlx2
SLU7	Slu7
HHEX	Hhex
HOXD1	Hoxd1
GAREM	Garem
RAB25	Rab25
ARHGAP15	Arhgap15
PAX4	Pax4
AXL	Axl
QPCTL	Qpctl
LRRTM3	Lrrtm3
FSHR	Fshr
SLC22A12	Slc22a12
COG3	Cog3
TFPI	Tfpi
NANOG	Nanog
SKP2	Skp2
SLC30A2	Slc30a2
PDIA3	Pdia3
TNFAIP3	Tnfaip3
DUPD1	Dupd1
LRRTM4	Lrrtm4
TPCN2	Tpcn2
HOXC10	Hoxc10
PPIH	Ppih
SCEL	Scel
CPA5	Cpa5
KCNK15	Kcnk15
IGFALS	Igfals
PPIL4	Ppil4
NARFL	Narfl
TMEM126B	Tmem126b
CAMK4	Camk4
ENPEP	Enpep
PUM1	Pum1
NDST1	Ndst1
DGAT1	Dgat1
TSPAN3	Tspan3
CDK17	Cdk17
GCNT4	Gcnt4
DNAJA3	Dnaja3
KCNV2	Kcnv2
BCAN	Bcan
GPX7	Gpx7
CAMP	Camp
RPS16	Rps16
ANKRD28	Ankrd28
NDST4	Ndst4
SLC4A5	Slc4a5
GPRIN2	Gprin2
SH3RF2	Sh3rf2
MAP3K9	Map3k9
SASH1	Sash1
AKT1	Akt1
PTH1R	Pth1r
AKAP13	Akap13
GRM6	Grm6
PCDH9	Pcdh9
CDK18	Cdk18
ACTRT3	Actrt3
MMADHC	Mmadhc
LMBRD2	Lmbrd2
SLC39A4	Slc39a4
CD63	Cd63
TMEM59	RGD1310313
ANTXR2	Antxr2
GRAMD2	Gramd2
FARS2	Fars2
DNALI1	Dnali1
AQPEP	Aqpep
PPIL2	Ppil2
ASB5	Asb5
MDGA1	MDGA1
AKR1D1	Akr1d1
CNGA4	Cnga4
CEP350	Cep350
TNNC2	Tnnc2
ANTXRL	Antxrl
TMEM59L	Tmem59l
CDK14	Cdk14
MRPS22	Mrps22
C12orf23	RGD1563325
ACO1	Aco1
DCLK3	Dclk3
CRB1	Crb1
CMTM3	Cmtm3
LMX1A	Lmx1a
NMUR1	Nmur1
ATF7IP	Atf7ip
GFPT1	Gfpt1
WDR65	Wdr65
RGS8	Rgs8
CDHR3	Cdhr3
EPB41L4A	Epb41l4a
DNER	Dner
SLC7A6	Slc7a6
TDRD9	TDRD9
FRMPD3	RGD1563753
NMBR	Nmbr
CPNE5	Cpne5
EMILIN1	Emilin1
PPIC	Ppic
UBXN1	Ubxn1
FLOT2	FLOT2
MYH7	Myh7
AKR1A1	Akr1a1
ARHGEF40	Arhgef40
ATP1B1	Atp1b1
ANKRD50	Ankrd50
DTNB	Dtnb
FKBP3	Fkbp3
STT3B	Stt3b
DHX57	Dhx57
CAPN1	Capn1
ECE2	Ece2
ARL13A	Arl13a
PPP6R1	Ppp6r1
DBH	Dbh
PAX6	Pax6
ZRANB1	Zranb1
MYO9A	Myo9a
METTL13	Mettl13
OTOL1	Otol1
NOP14	Nop14
VCAN	Vcan
FBXL13	Fbxl13
RGS5	Rgs5
ATP1B3	Atp1b3
ACTRT1	Actrt1
OR2A5	Olr812
RAP2B	Rap2b
ARSB	Arsb
PLCH2	Plch2
FKBP8	Fkbp8
MICAL1	Mical1
DLK1	Dlk1
LPCAT2	Lpcat2
PITX1	Pitx1
SH3RF3	Sh3rf3
GEN1	Gen1
RRAD	Rrad
GPR25	Gpr25
DLX5	Dlx5
FLOT1	Flot1
ARSI	Arsi
GPR15	Gpr15
GPX8	Gpx8
FKBP6	Fkbp6
ZDHHC23	Zdhhc23
GHSR	Ghsr
MCTS1	Mcts1
ZNF606	Zfp606
HOXB9	Hoxb9
HARS2	Hars2
OR2A14	Olr816
OTUD7B	Otud7b
TGIF1	Tgif1
GCNT3	Gcnt3
APLNR	Aplnr
LCT	Lct
ARSJ	Arsj
GCNT1	Gcnt1
OTUD7A	Otud7a
PDIA4	Pdia4
IFT57	Ift57
GLCCI1	Glcci1
ATP1B4	Atp1b4
SORBS2	Sorbs2
ADIPOQ	Adipoq
GYG1	Gyg1
DNAJA2	Dnaja2
LHX9	Lhx9
ACTRT2	Actrt2
ZCCHC6	Zcchc6
KCNF1	Kcnf1
MAP2K4	Map2k4
LCTL	Lctl
EPB41L5	Epb4.1l5
HDAC5	Hdac5
DLL3	Dll3
CHRNA9	Chrna9
FNTB	Fntb
RPS6KC1	Rps6kc1
SERPINC1	Serpinc1
GPRIN3	Gprin3
GRM4	Grm4
FBXL16	Fbxl16
C1QTNF2	C1qtnf2
RAP2C	Rap2c
TMEM182	Tmem182
HOXC9	Hoxc9
NOVA2	Nova2
DLK2	Dlk2
TMEM126A	Tmem126a
ASB11	Asb11
UNK	Unk
DNAJB11	Dnajb11
CHRNA10	Chrna10
KCNK12	Kcnk12
CAPRIN2	Caprin2
EHMT1	Ehmt1
CHRNA7	Chrna7
OPTC	Optc
KCNK3	Kcnk3
SERPINB5	Serpinb5
BOC	Boc
GAA	Gaa
FXR2	Fxr2
GRPR	Grpr
HOXD9	Hoxd9
C1QTNF7	C1qtnf7
NOVA1	NOVA1
KRT15	Krt15
RIT2	Rit2
MOXD1	Moxd1
CSE1L	Cse1l
FRMPD4	Frmpd4
ALDH1A3	Aldh1a3
SERPINE2	Serpine2
SERPINI2	Serpini2
FEN1	Fen1
CAPRIN1	Caprin1
SLC4A7	Slc4a7
FMR1	FMR1
RND1	Rnd1
ACTBL2	Actbl2
MFGE8	Mfge8
ARHGAP27	Arhgap27
SSR1	Ssr1
LRTM2	Lrtm2
PRDX6	Prdx6
